LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS10M
53.55341,9.99181,1982,02,18,    0.10,    4.22,    1.31,   -2.90,   -1.35,    9.39,    6.63,    2.76,    8.01
53.55341,9.99181,1982,02,19,    0.11,    4.67,   -0.02,   -4.69,   -2.46,    7.57,    4.53,    3.04,    6.27
53.55341,9.99181,1982,02,20,    0.01,    8.67,    1.76,   -6.91,   -3.24,    5.22,    3.17,    2.05,    4.38
53.55341,9.99181,1982,02,21,    0.00,    9.00,    2.15,   -6.85,   -2.95,    3.82,    2.47,    1.35,    3.16
53.55341,9.99181,1982,02,22,    0.01,    8.93,    2.49,   -6.44,   -2.62,    5.41,    3.04,    2.37,    4.26
53.55341,9.99181,1982,02,23,    0.08,    6.67,    1.36,   -5.31,   -2.55,    5.76,    2.01,    3.75,    3.86
53.55341,9.99181,1982,02,24,    0.22,    5.40,    0.17,   -5.24,   -2.52,    1.86,    0.12,    1.74,    0.72
53.55341,9.99181,1982,02,25,    0.10,    6.35,    1.54,   -4.81,   -2.08,    2.41,    0.20,    2.20,    1.68
53.55341,9.99181,1982,02,26,    0.10,    4.81,   -0.00,   -4.81,   -2.95,    3.73,    1.00,    2.73,    2.19
53.55341,9.99181,1982,02,27,    0.26,    9.99,    3.59,   -6.39,   -1.58,    5.50,    2.86,    2.63,    4.33
53.55341,9.99181,1982,02,28,    4.39,    3.21,    3.74,    0.53,    2.07,    6.74,    3.28,    3.45,    4.85
53.55341,9.99181,1982,03,01,    9.82,    5.45,    8.86,    3.41,    5.66,    9.33,    4.91,    4.42,    7.30
53.55341,9.99181,1982,03,02,    1.11,    5.53,    6.79,    1.27,    3.80,   10.97,    6.46,    4.51,    8.67
53.55341,9.99181,1982,03,03,   10.98,    6.86,    7.76,    0.90,    4.36,   11.52,    6.44,    5.08,    9.29
53.55341,9.99181,1982,03,04,    2.24,    4.22,    5.47,    1.25,    3.98,   13.63,    7.54,    6.08,   11.06
53.55341,9.99181,1982,03,05,    0.70,    5.49,    4.95,   -0.54,    1.96,    8.80,    2.94,    5.86,    6.86
53.55341,9.99181,1982,03,06,    0.21,    8.24,    5.63,   -2.61,    0.58,    4.77,    1.68,    3.09,    3.19
53.55341,9.99181,1982,03,07,    0.00,    7.89,    4.39,   -3.51,   -0.40,    7.21,    4.01,    3.19,    5.40
53.55341,9.99181,1982,03,08,    0.00,    9.98,    7.16,   -2.82,    0.93,    5.64,    2.40,    3.23,    4.35
53.55341,9.99181,1982,03,09,    0.19,    6.55,    6.15,   -0.39,    2.05,    4.06,    1.44,    2.62,    2.72
53.55341,9.99181,1982,03,10,    7.26,    5.96,    5.50,   -0.46,    2.94,   11.84,    4.03,    7.81,    8.19
53.55341,9.99181,1982,03,11,    5.71,    4.44,    5.47,    1.04,    3.27,   12.94,    4.62,    8.32,    8.40
53.55341,9.99181,1982,03,12,    5.21,    5.69,    5.55,   -0.14,    2.60,   11.41,    5.39,    6.02,    8.16
53.55341,9.99181,1982,03,13,    0.91,    4.98,    5.16,    0.18,    2.41,    8.45,    6.53,    1.92,    7.45
53.55341,9.99181,1982,03,14,    1.71,    6.76,    6.29,   -0.47,    3.14,    7.54,    5.86,    1.67,    6.73
53.55341,9.99181,1982,03,15,    0.20,    7.57,   10.13,    2.55,    6.21,   10.21,    6.92,    3.30,    8.05
53.55341,9.99181,1982,03,16,    4.11,    5.12,    7.35,    2.23,    4.29,    9.70,    4.39,    5.32,    7.41
53.55341,9.99181,1982,03,17,    1.18,    5.60,    8.05,    2.44,    4.50,    8.11,    1.96,    6.15,    5.36
53.55341,9.99181,1982,03,18,    0.55,    6.84,    8.51,    1.67,    4.14,    5.01,    2.04,    2.98,    3.75
53.55341,9.99181,1982,03,19,    0.42,    7.55,    7.98,    0.43,    3.58,    3.36,    0.15,    3.21,    1.61
53.55341,9.99181,1982,03,20,    0.31,    7.18,    6.84,   -0.34,    2.43,    3.75,    1.30,    2.45,    2.48
53.55341,9.99181,1982,03,21,    0.15,    9.05,    8.13,   -0.92,    3.71,    2.58,    0.83,    1.75,    1.89
53.55341,9.99181,1982,03,22,    1.05,    6.64,    7.89,    1.24,    4.04,    2.15,    0.94,    1.20,    1.68
53.55341,9.99181,1982,03,23,    0.14,    8.30,    8.77,    0.48,    3.61,    3.66,    0.90,    2.77,    2.41
53.55341,9.99181,1982,03,24,    0.00,    8.24,    8.56,    0.32,    3.61,    3.86,    0.32,    3.54,    2.14
53.55341,9.99181,1982,03,25,    0.03,   10.33,    9.84,   -0.48,    3.68,    5.38,    2.86,    2.52,    4.16
53.55341,9.99181,1982,03,26,    0.18,    8.24,    9.76,    1.51,    4.06,    4.84,    2.36,    2.48,    3.74
53.55341,9.99181,1982,03,27,    0.06,   12.40,   14.44,    2.04,    7.23,    3.00,    1.30,    1.71,    1.94
53.55341,9.99181,1982,03,28,    0.01,   10.90,   12.98,    2.09,    6.70,    3.72,    2.03,    1.69,    2.93
53.55341,9.99181,1982,03,29,    0.15,    6.25,    8.11,    1.86,    4.33,    3.99,    1.95,    2.04,    2.99
53.55341,9.99181,1982,03,30,    0.31,    7.43,    6.84,   -0.59,    2.93,    6.57,    2.41,    4.16,    4.51
53.55341,9.99181,1982,03,31,    0.00,   11.55,    9.22,   -2.34,    3.14,    3.72,    2.24,    1.48,    2.78
53.55341,9.99181,1982,04,01,    0.00,   14.27,   12.17,   -2.09,    4.77,    5.58,    2.47,    3.11,    3.87
53.55341,9.99181,1982,04,02,    0.02,   15.28,   15.95,    0.67,    7.89,    4.08,    1.37,    2.70,    2.90
53.55341,9.99181,1982,04,03,    1.32,    6.80,    9.44,    2.64,    5.84,    8.57,    2.27,    6.30,    5.63
53.55341,9.99181,1982,04,04,    0.04,   10.20,   12.78,    2.59,    6.81,    3.94,    1.26,    2.68,    2.77
53.55341,9.99181,1982,04,05,    0.00,   14.64,   15.33,    0.69,    7.90,    4.93,    2.71,    2.22,    3.73
53.55341,9.99181,1982,04,06,    3.25,   12.31,   15.79,    3.48,    9.65,    5.39,    1.79,    3.60,    3.05
53.55341,9.99181,1982,04,07,    6.19,    5.75,   12.84,    7.09,   10.15,   11.47,    3.26,    8.21,    6.77
53.55341,9.99181,1982,04,08,    4.95,    8.70,   10.30,    1.59,    5.59,   12.73,    9.19,    3.54,   11.00
53.55341,9.99181,1982,04,09,    3.46,    3.63,    5.16,    1.53,    3.16,   12.04,    6.49,    5.55,   10.01
53.55341,9.99181,1982,04,10,    2.30,    4.01,    5.23,    1.21,    2.97,   10.09,    6.31,    3.78,    7.77
53.55341,9.99181,1982,04,11,    2.42,    3.75,    5.10,    1.35,    2.86,   11.19,    6.91,    4.27,    9.11
53.55341,9.99181,1982,04,12,    3.05,    3.26,    4.41,    1.14,    2.84,    8.66,    3.46,    5.20,    7.16
53.55341,9.99181,1982,04,13,    0.28,    7.80,    8.47,    0.67,    3.84,    4.60,    2.27,    2.33,    3.27
53.55341,9.99181,1982,04,14,    0.02,   10.11,    9.45,   -0.66,    3.84,    4.92,    1.57,    3.35,    3.05
53.55341,9.99181,1982,04,15,    0.02,   11.63,   11.49,   -0.14,    5.70,    3.76,    0.90,    2.86,    2.72
53.55341,9.99181,1982,04,16,    0.09,    9.71,   12.40,    2.69,    7.02,    5.18,    0.48,    4.70,    3.23
53.55341,9.99181,1982,04,17,    0.05,   10.14,   11.59,    1.45,    6.38,    6.09,    2.78,    3.30,    4.76
53.55341,9.99181,1982,04,18,    0.00,   12.07,   11.45,   -0.62,    5.73,    6.95,    1.91,    5.04,    4.38
53.55341,9.99181,1982,04,19,    0.02,   11.37,   12.84,    1.47,    7.14,    3.21,    1.84,    1.37,    2.38
53.55341,9.99181,1982,04,20,    0.14,    9.30,   12.83,    3.53,    8.47,    2.10,    0.28,    1.82,    1.33
53.55341,9.99181,1982,04,21,    0.23,    8.31,   11.89,    3.58,    7.85,    2.90,    0.54,    2.35,    2.12
53.55341,9.99181,1982,04,22,    0.00,   11.06,   13.89,    2.83,    8.61,    3.05,    0.68,    2.37,    1.68
53.55341,9.99181,1982,04,23,    5.05,    9.75,   13.22,    3.46,    7.88,    5.66,    2.56,    3.10,    4.20
53.55341,9.99181,1982,04,24,    0.83,    6.72,   10.23,    3.51,    6.58,    5.41,    2.70,    2.70,    4.40
53.55341,9.99181,1982,04,25,    0.03,    9.78,   13.17,    3.39,    7.65,    6.43,    1.89,    4.55,    4.08
53.55341,9.99181,1982,04,26,    0.15,    8.95,   12.98,    4.03,    8.45,    9.13,    3.81,    5.32,    6.78
53.55341,9.99181,1982,04,27,    0.05,    9.94,   13.80,    3.85,    8.17,    5.23,    3.32,    1.91,    4.20
53.55341,9.99181,1982,04,28,    0.65,    7.17,   10.75,    3.58,    7.35,    9.47,    4.06,    5.41,    6.67
53.55341,9.99181,1982,04,29,    6.83,    3.59,    6.88,    3.29,    4.97,    8.76,    4.44,    4.32,    7.13
53.55341,9.99181,1982,04,30,    2.16,    5.63,    7.57,    1.94,    5.20,    8.51,    5.64,    2.88,    6.99
53.55341,9.99181,1982,05,01,    4.75,    8.03,   10.97,    2.93,    7.18,    8.82,    5.18,    3.64,    7.24
53.55341,9.99181,1982,05,02,    1.49,    5.38,    7.38,    2.00,    4.45,    9.79,    3.17,    6.61,    6.42
53.55341,9.99181,1982,05,03,    2.81,    7.03,   11.18,    4.15,    7.69,   11.58,    3.74,    7.84,    8.03
53.55341,9.99181,1982,05,04,    1.54,    5.92,   11.79,    5.87,    8.43,    9.99,    1.82,    8.17,    6.74
53.55341,9.99181,1982,05,05,   10.51,    6.73,    8.31,    1.58,    5.68,    7.23,    1.50,    5.73,    3.76
53.55341,9.99181,1982,05,06,    0.03,   10.68,   11.86,    1.18,    6.47,    5.52,    1.19,    4.34,    3.11
53.55341,9.99181,1982,05,07,    6.12,    4.30,    7.29,    2.99,    5.28,    6.52,    0.65,    5.87,    3.84
53.55341,9.99181,1982,05,08,    1.65,    7.66,   10.37,    2.71,    6.27,   11.30,    3.72,    7.59,    7.50
53.55341,9.99181,1982,05,09,    0.04,   11.83,   12.70,    0.86,    6.91,    6.36,    2.61,    3.74,    4.41
53.55341,9.99181,1982,05,10,    0.02,   11.17,   14.04,    2.87,    8.52,    2.92,    1.35,    1.57,    2.24
53.55341,9.99181,1982,05,11,    0.10,   10.31,   13.52,    3.21,    8.81,    4.74,    0.69,    4.06,    2.92
53.55341,9.99181,1982,05,12,    0.04,    9.88,   13.09,    3.21,    7.54,    4.67,    1.96,    2.71,    3.22
53.55341,9.99181,1982,05,13,    0.00,   13.81,   15.80,    1.99,    8.98,    5.67,    2.40,    3.27,    3.95
53.55341,9.99181,1982,05,14,    0.03,   13.53,   18.32,    4.79,   11.58,    2.90,    0.89,    2.01,    1.62
53.55341,9.99181,1982,05,15,    0.00,   13.92,   20.19,    6.27,   13.92,    4.28,    2.64,    1.64,    3.68
